,1,2,3,4,5,6,7,8,9,10
0,"10,1","10,1","6,2","6,3","8,4","7,4","9,3","7,4","7,4","8,4"
10,"9,3","11,4","11,3","11,2","13,2","13,1","16,3","18,2","13,2","15,4"
20,"12,0","12,5","13,8","12,5","10,4","11,7","10,7","6,4","5,4","4,3"
30,"7,6","6,7","6,7","4,3","4,4","4,4","5,4","5,4","5,4","5,3"
40,"7,3","8,3","9,3","10,3","12,3","13,2","15,2","16,2","17,2","17,3"
50,"19,5","18,4","18,5","17,5","20,5","16,6","15,6","14,6","13,7","11,7"
60,"10,7","10,5","9,5","10,7","10,6","10,6","11,6","11,6","12,6","13,6"
70,"13,6","14,7","16,6","16,7","15,6","15,6","14,8","13,8","12,7","10,6"
80,"11,8","9,7","10,6","6,4","4,5","4,4","5,7","6,7","7,6","7,6"
90,"7,6","9,6","9,5","10,4","12,4","13,5","15,6","15,5","15,5","15,4"
100,"17,6","19,6","19,7","18,8","18,9","17,7","16,7","15,10","16,9","15,7"
110,"14,7","13,7","14,7","12,9","12,7","9,7","7,7","6,8","5,8","8,7"
120,"8,10","8,8","9,7","10,7","9,8","11,8","13,8","14,10","15,10","16,10"
130,"13,8","16,9","17,9","17,9","18,9","19,10","17,7","16,8","15,10","14,8"
140,"15,12","14,10","12,10","11,10","11,12","10,12","10,11","11,10","12,11","12,10"
150,"14,9","13,8","14,7","15,9","15,9","15,10","16,11","17,10","18,11","18,12"
160,"17,11","15,12","14,12","13,12","12,12","12,11","10,10","9,12","7,13","7,13"
170,"8,14","9,13","9,14","10,14","11,13","12,13","14,13","14,15","16,13","14,14"
180,"17,14","16,14","18,14","16,13","15,13","15,14","15,14","16,15","13,14","13,14"
190,"12,14","10,15","8,14","8,12","9,12","8,15","8,14","9,16","9,17","10,16"
200,"11,16","13,17","14,17","14,17","16,18","17,16","16,15","17,18","16,17","16,17"
210,"15,16","15,17","14,16","16,16","15,17","11,16","10,17","9,17","9,17","10,17"
220,"9,18","10,18","11,19","12,20","13,19","15,20","15,20","16,19","16,18","17,18"
230,"16,19","16,20","12,19","11,20","9,20","7,20","10,22","7,21","7,20","7,21"
240,"8,21","9,21","10,21","11,22","13,22","13,22","14,22","15,22","14,20","14,20"
250,"12,21","10,21","8,21","10,22","10,22","9,23","8,22","8,23","10,23","9,25"
260,"11,24","12,24","13,24","14,24","13,23","13,24","10,24","11,23","10,23","9,23"
270,"8,23","9,24","9,25","9,25","11,25","11,26","13,26","13,27","14,27","14,26"
280,"14,26","14,27","14,25","10,25","10,27","9,26","9,27","10,26","10,27","11,27"
290,"13,28","13,29","13,30","14,30","13,31","11,30","10,31","11,29","11,29","10,30"
300,"11,30","12,29","12,28","11,28","11,27","12,26","10,26","9,25","9,26","11,26"
310,"12,25","12,24","13,23","13,23","13,22","12,21","11,20","11,20","11,19","11,18"
320,"8,17","8,16","7,18","7,18","7,16","7,17","7,15","9,15","11,14","11,13"
330,"13,13","14,13","15,12","16,13","16,12","17,13","16,12","16,12","15,10","13,11"
340,"12,12","11,13","12,12","9,12","8,10","7,11","7,10","6,12","4,11","6,10"
350,"5,11","5,12","6,10","8,10","8,12","9,10","11,11","13,11","13,10","14,11"
360,"15,12","16,10","17,10","18,10","18,9","17,10","16,8","17,7","14,7","16,7"
370,"14,10","13,11","13,10","12,11","9,12","10,11","8,9","8,8","6,8","5,9"
380,"7,9","6,10","4,10","4,10","5,11","6,13","5,11","8,13","8,12","9,11"
390,"11,10","10,12","12,13","11,14","12,15","12,16","11,17","11,19","10,18","11,19"
